Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Data Analyst - R/Python,Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),"₹360,000 - ₹420,000","Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-r-python-at-xpressbees-busybees-logistics-solutions-pvt-ltd-3747582533?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=jxlHWKn6N0S93wLAumwFdg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago
Tech and Analytics,GMR Energy Limited,"₹400,000 - ₹550,000","Varanasi, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/tech-and-analytics-at-gmr-energy-limited-3729068116?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=2oJqGq%2FrxPWUGXmcwN%2BJkA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,4 weeks ago
Data Analyst,BolsterBiz,"₹400,000 - ₹500,000","Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-at-bolsterbiz-3754598833?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=QQVk3uMhOAUlOwr9YrZi%2BA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
Business Analyst/Data Analyst-Hyderabad,Wipro,"₹400,000 - ₹500,000","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/business-analyst-data-analyst-hyderabad-at-wipro-3752497931?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=cMikLMA23dVrjwo4hYoQ9Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
"Senior Data Analyst (Power BI , Tableau)",Ivanti,"₹400,000 - ₹550,000","Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-power-bi-tableau-at-ivanti-3748983986?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=WwecXzbnXWMcOmmSoM9UnQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Research Analyst Team Lead,Forbes Advisor,"₹400,000 - ₹550,000","Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-research-analyst-team-lead-at-forbes-advisor-3715490624?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=mqaVkxgOE1BIeLmCyhw%2B5A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
"DATA ANALYST (SQL,Python, Aws)",Coforge,"₹400,000 - ₹500,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-sql-python-aws-at-coforge-3743390893?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=qZqIDgyULsGb4TspTPq%2F%2Fw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
Business Intelligence Lead,In-Solutions Global Ltd,"₹400,000 - ₹500,000",Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/business-intelligence-lead-at-in-solutions-global-ltd-3738334779?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=AlOG2AcsHD3bWonnz%2Bp4Og%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
Jr. Data Analyst (Remote),Rocket Learning,"₹1,500,000 - ₹1,800,000",India,https://in.linkedin.com/jobs/view/jr-data-analyst-remote-at-rocket-learning-3742213852?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=M6clO1OPfiSedG2TcvdbiQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago
Deputy General Manager - Analytics,Honasa Consumer Ltd.,"₹300,000 - ₹500,000","Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/deputy-general-manager-analytics-at-honasa-consumer-ltd-3746235588?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=ixKL1AzBwawMzb%2BLSye5rQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
